Time,x,y,z,vx,vy,vz,hx,hy,hz,Mass
0.000000000000000000e+00,7.000000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+02
1.000000000000000000e+01,6.999593268650321079e+03,7.499854737371153135e+01,0.000000000000000000e+00,-8.134551091349832841e-02,7.499564216102942993e+00,0.000000000000000000e+00,4.998999999999999773e+02
2.000000000000000000e+01,6.998373120141975960e+03,1.499883792198037327e+02,0.000000000000000000e+00,-1.626819137857792585e-01,7.498256909508142165e+00,0.000000000000000000e+00,4.997999999999999545e+02
3.000000000000000000e+01,6.996339691092639441e+03,2.249607809125757854e+02,0.000000000000000000e+00,-2.440001013606926117e-01,7.496078215502032016e+00,0.000000000000000000e+00,4.996999999999999318e+02
4.000000000000000000e+01,6.993493209185349770e+03,2.999070396301164578e+02,0.000000000000000000e+00,-3.252909679522581476e-01,7.493028359554621431e+00,0.000000000000000000e+00,4.995999999999999091e+02
5.000000000000000000e+01,6.989833993148884474e+03,3.748184452560882391e+02,0.000000000000000000e+00,-4.065454102298341477e-01,7.489107657308417210e+00,0.000000000000000000e+00,4.994999999999998863e+02
6.000000000000000000e+01,6.985362452730277255e+03,4.496862912813783169e+02,0.000000000000000000e+00,-4.877543280033864725e-01,7.484316514562912026e+00,0.000000000000000000e+00,4.993999999999998636e+02
7.000000000000000000e+01,6.980079088659487752e+03,5.245018757055725018e+02,0.000000000000000000e+00,-5.689086250088912777e-01,7.478655427254627064e+00,0.000000000000000000e+00,4.992999999999998408e+02
8.000000000000000000e+01,6.973984492606212370e+03,5.992565019382070659e+02,0.000000000000000000e+00,-6.499992096939042341e-01,7.472124981432702207e+00,0.000000000000000000e+00,4.991999999999998181e+02
9.000000000000000000e+01,6.967079347128840709e+03,6.739414796997542680e+02,0.000000000000000000e+00,-7.310169960033294778e-01,7.464725853230026686e+00,0.000000000000000000e+00,4.990999999999997954e+02
1.000000000000000000e+02,6.959364425615550317e+03,7.485481259222971175e+02,0.000000000000000000e+00,-8.119529041654205415e-01,7.456458808829893314e+00,0.000000000000000000e+00,4.989999999999997726e+02
1.100000000000000000e+02,6.950840592217543417e+03,8.230677656498476154e+02,0.000000000000000000e+00,-8.927978614780458511e-01,7.447324704428166520e+00,0.000000000000000000e+00,4.988999999999997499e+02
1.200000000000000000e+02,6.941508801774420135e+03,8.974917329382649314e+02,0.000000000000000000e+00,-9.735428030952502088e-01,7.437324486190942885e+00,0.000000000000000000e+00,4.987999999999997272e+02
1.300000000000000000e+02,6.931370099731679147e+03,9.718113717547267925e+02,0.000000000000000000e+00,-1.054178672814144457e+00,7.426459190207694405e+00,0.000000000000000000e+00,4.986999999999997044e+02
1.400000000000000000e+02,6.920425622050353013e+03,1.046018036876710539e+03,0.000000000000000000e+00,-1.134696423862153969e+00,7.414729942439866939e+00,0.000000000000000000e+00,4.985999999999996817e+02
1.500000000000000000e+02,6.908676595108767287e+03,1.120103094790436216e+03,0.000000000000000000e+00,-1.215087019684656378e+00,7.402137958664917861e+00,0.000000000000000000e+00,4.984999999999996589e+02
1.600000000000000000e+02,6.896124335596419769e+03,1.194057924588728383e+03,0.000000000000000000e+00,-1.295341434733039643e+00,7.388684544415768052e+00,0.000000000000000000e+00,4.983999999999996362e+02
1.700000000000000000e+02,6.882770250399978977e+03,1.267873918868248438e+03,0.000000000000000000e+00,-1.375450655253207977e+00,7.374371094915645131e+00,0.000000000000000000e+00,4.982999999999996135e+02
1.800000000000000000e+02,6.868615836481395490e+03,1.341542484626052783e+03,0.000000000000000000e+00,-1.455405680074567387e+00,7.359199095008285951e+00,0.000000000000000000e+00,4.981999999999995907e+02
1.900000000000000000e+02,6.853662680748118873e+03,1.415055044155429641e+03,0.000000000000000000e+00,-1.535197521399515486e+00,7.343170119083476166e+00,0.000000000000000000e+00,4.980999999999995680e+02
2.000000000000000000e+02,6.837912459915417458e+03,1.488403035940966902e+03,0.000000000000000000e+00,-1.614817205593467087e+00,7.326285830997893989e+00,0.000000000000000000e+00,4.979999999999995453e+02
2.100000000000000000e+02,6.821366940360797344e+03,1.561577915552806644e+03,0.000000000000000000e+00,-1.694255773975438473e+00,7.308547983991225294e+00,0.000000000000000000e+00,4.978999999999995225e+02
2.200000000000000000e+02,6.804027977970508800e+03,1.634571156540035417e+03,0.000000000000000000e+00,-1.773504283609219412e+00,7.289958420597516309e+00,0.000000000000000000e+00,4.977999999999994998e+02
2.300000000000000000e+02,6.785897517978142787e+03,1.707374251323164572e+03,0.000000000000000000e+00,-1.852553808095155574e+00,7.270519072551731909e+00,0.000000000000000000e+00,4.976999999999994770e+02
2.400000000000000000e+02,6.766977594795303048e+03,1.779978712085652205e+03,0.000000000000000000e+00,-1.931395438362568440e+00,7.250231960691476907e+00,0.000000000000000000e+00,4.975999999999994543e+02
2.500000000000000000e+02,6.747270331834349236e+03,1.852376071664418077e+03,0.000000000000000000e+00,-2.010020283462832680e+00,7.229099194853845667e+00,0.000000000000000000e+00,4.974999999999994316e+02
2.600000000000000000e+02,6.726777941323211053e+03,1.924557884439302143e+03,0.000000000000000000e+00,-2.088419471363136548e+00,7.207122973767356555e+00,0.000000000000000000e+00,4.973999999999994088e+02
2.700000000000000000e+02,6.705502724112257056e+03,1.996515727221417592e+03,0.000000000000000000e+00,-2.166584149740945264e+00,7.184305584938931233e+00,0.000000000000000000e+00,4.972999999999993861e+02
